Year,County,Site Name,X,Y
2019,Benson,BEN-Elstad,-99.09604622,48.07539044
2019,Billings,BIL-144-099-36,-103.1673317,47.24435317
2019,Cavalier,Billings Lake WPA,-98.49438006,48.61460834
2019,Billings,BIL-Little Missouri NG 3,-103.3773334,46.79478065
2019,Walsh,Bjerke WPA,-98.07749006,48.48991481
2019,Adams,Blaha Dozer Q,-102.8066263,46.22922793
2019,Adams,Blaha Wolf Butte,-102.7540673,46.22992861
2019,Bottineau,BOT-160-080-36,-100.938254,48.63606382
2019,Bottineau,BOT-JCS NWR 1,-100.9476682,48.86218019
2019,Bottineau,BOT-JCS NWR 4,-100.9601272,48.96417757
2019,Bowman,BOW-131-105-36,-103.7604409,46.13186293
2019,Burke,BRK-162-094-36,-102.8211925,48.82007468
2019,Burleigh,BRL-137-078-36,-100.467482,46.63964066
2019,Pierce,Buffalo Lake WMA,-99.85531891,48.03361292
2019,Stutsman,Chase Lake WMA,-99.38805076,47.03582984
2019,Barnes,Clausen Springs WMA,-98.05918969,46.67800165
2019,McLean,Coal Coulee WPA,-101.054229,47.44554225
2019,Grand Forks,Crawford Oakville Prairie WMA,-97.31135966,47.89564277
2019,Divide,DIV-161-102-16,-103.9321435,48.8630933
2019,Oliver,Duhr,-101.1072834,47.19080304
2019,Eddy,EDD-150-065-24,-98.92431117,47.80085603
2019,Eddy,EDD-150-065-7,-99.02708178,47.81981179
2019,Traill,Elken WPA,-97.44708118,47.3741021
2019,Traill,Elliott,-97.39159141,47.26196906
2019,Emmons,EMM-129-077-16,-100.3214806,45.99808643
2019,Emmons,EMM-133-074-16,-99.98659728,46.33995769
2019,Cass,Erie Dam WMA,-97.42811664,47.09814203
2019,Walsh,Fairdale WPA,-98.2344861,48.51346633
2019,Pembina,Fitzsimond Slough WMA,-97.78774172,48.94785588
2019,Foster,FOS-147-062-26,-98.52421513,47.51743179
2019,Steele,Fuller's Lake WPA,-97.58625967,47.33063903
2019,Grant,Gaugler CRP,-101.9917678,46.13045547
2019,Grand Forks,GFO-151-056-16,-97.82648571,47.89143686
2019,Golden Valley,GOL-Little Missouri NG 1,-103.6580631,46.96737645
2019,Golden Valley,GOL-Little Missouri NG 2,-104.0180585,46.62020222
2019,Golden Valley,GOL-Little Missouri NG 3,-103.7098779,46.85549932
2019,McLean,Goven,-100.893925,47.6776246
2019,Grant,GRA-133-083-16,-101.1225832,46.34015601
2019,Grant,GRA-137-088-16,-101.7987167,46.67982913
2019,Griggs,GRI-148-061-16,-98.45036686,47.63633503
2019,Ransom,Grinstead WPA,-97.95977199,46.40412116
2019,Logan,Grohne WPA,-99.06421399,46.55778364
2019,Bowman,Hansen,-103.5493352,45.95033304
2019,Kidder,Haven Hills WMA,-99.62651143,47.29739401
2019,Eddy,Haven WPA,-98.57288573,47.67140968
2019,McIntosh,Herr East,-99.5163233,46.18237334
2019,Hettinger,HET-136-091-34,-102.1084038,46.54981699
2019,Slope,Hewson,-103.2135657,46.40158612
2019,Mercer,Hille WMA,-101.6760337,47.49921533
2019,Hettinger,Hillsview WPA,-102.4785255,46.5803411
2019,Hettinger,Indian Creek WMA 2,-102.6391523,46.32784838
2019,Sheridan,Johns Lake WPA,-100.4969172,47.39781629
2019,Dickey,Johnson's Gulch WMA,-98.86670262,45.98853367
2019,Ramsey,Kenner Marsh WMA,-99.02950371,48.22974713
2019,Kidder,KID-138-074-16,-100.0308865,46.76896197
2019,Dunn,Killdeer Mtns WMA 2,-103.0225382,47.47091678
2019,Sargent,Kraft Slough WPA 2,-97.95205264,46.11527525
2019,Bowman,Kromerek,-103.251111,45.954961
2019,Dunn,Lake Ilo NWR,-102.6845168,47.35021023
2019,LaMoure,LAM-133-065-36,-98.80176755,46.28674913
2019,LaMoure,LAM-136-059-36,-98.03620977,46.55600413
2019,Nelson,Lambs Lake NWR,-98.08355666,47.94449304
2019,Dickey,Lazy M WPA,-98.94303296,46.00174923
2019,Barnes,Lettenmaier WPA,-98.28542635,46.87365487
2019,McLean,Lick North,-100.9371147,47.76665737
2019,Logan,LOG-134-071-36,-99.555186,46.37557931
2019,Logan,LOG-135-070-16,-99.48017887,46.50396268
2019,Pierce,Long Lake WPA,-99.82419129,48.48224723
2019,Pembina,Lubenow East High,-97.27427459,48.73756184
2019,Pembina,Lubenow West Low,-97.80406199,48.84499627
2019,Foster,Lutz East,-98.62619597,47.4612784
2019,Foster,Lutz West,-98.99432128,47.48877283
2019,McHenry,MCH-JCS NWR,-100.4203691,48.5107826
2019,McKenzie,MCK-146-100-36,-103.371278,47.42788754
2019,McKenzie,MCK-Little Missouri NG 3,-103.9844865,47.43246776
2019,McKenzie,MCK-Little Missouri NG 4,-103.0777942,47.96533364
2019,Mercer,MER-144-089-16,-101.9692205,47.29040365
2019,Ward,Minot AFB East,-101.314347,48.40181943
2019,Ward,Minot AFB West,-101.3734091,48.4351817
2019,Mercer,Missouri Breaks WMA,-101.3679659,47.27650858
2019,Morton,MOR-138-083-36,-101.1055196,46.723592
2019,Morton,MOR-140-089-16,-101.9261363,46.94032776
2019,Mountrail,MOU-153-091-16,-102.3784345,48.07842153
2019,Mountrail,MOU-Lostwood NWR,-102.4197868,48.54432713
2019,Cavalier,Mulberry Creek WPA,-98.56546694,48.8905786
2019,McIntosh,Mund WPA,-99.07317285,46.28135268
2019,Nelson,NEL-149-061-36,-98.40331253,47.68487661
2019,Towner,Nikolaisen WPA,-99.22416698,48.592765
2019,Stutsman,Northwestern Lake WPA,-99.19344974,47.2163331
2019,Billings,Odermann East,-103.2043638,47.01546691
2019,Oliver,OLI-143-082-16,-101.0842287,47.20319846
2019,Steele,Otto Spies WMA,-97.59801211,47.28815109
2019,Richland,Overboe,-97.09801894,46.62252893
2019,Kidder,Personius WPA,-99.74090325,47.03722748
2019,Pierce,PIE-152-073-16,-100.0143038,47.98279798
2019,Cavalier,Pung WPA,-98.96432937,48.62691832
2019,Ramsey,RAM-Elstad,-99.08705568,48.1455882
2019,Ransom,RAN-Sheyenne NG 1,-97.38319372,46.35902382
2019,Ransom,RAN-Sheyenne NG 2,-97.45719719,46.39307944
2019,Burleigh,Rath/Wonnenburg WPA,-100.2123091,47.19725492
2019,Renville,REN-163-084-16,-101.5713012,48.94639091
2019,Renville,REN-164-084-36,-101.5144108,48.98337125
2019,Renville,REN-Upper Souris NWR 4,-101.6042777,48.53523442
2019,Oliver,Rick Schmidt,-101.2720707,47.10495126
2019,Richland,RIC-Sheyenne NG 1,-97.24441881,46.49390125
2019,Richland,RIC-Sheyenne NG 2,-97.25036028,46.46178875
2019,Rolette,ROL-161-069-22,-99.58952825,48.75341775
2019,Rolette,ROL-162-072-36,-99.92508127,48.81813236
2019,McHenry,Round Lake Township WMA,-100.289469,48.08624879
2019,Nelson,Sahl WPA,-98.33914,48.169965
2019,Divide,Salt Flats WMA,-102.9485013,48.90295341
2019,Dickey,Sand,-98.99144239,45.95236875
2019,McIntosh,Sand West,-99.02933756,45.98930728
2019,Sargent,SAR-129-058-5,-97.97410921,46.01348628
2019,Emmons,Schiermeister WPA,-100.4973545,46.38354878
2019,Steele,Shaw WPA 2,-97.65732548,47.59762813
2019,Griggs,Sibley Lake NWR,-98.33200822,47.52843618
2019,Sioux,SIO-130-085-36,-101.2538932,46.04359734
2019,Sioux,SIO-Cedar River NG 3,-101.8293645,45.96288023
2019,Sioux,SIO-Cedar River NG 4,-101.7036308,45.95004286
2019,Slope,SLO-Little Missouri NG 1,-103.4637307,46.48062442
2019,Slope,SLO-Little Missouri NG 2,-103.1510551,46.61768467
2019,Divide,Soo Grade WPA,-103.0849164,48.90425353
2019,Griggs,Southward South,-98.36260526,47.5933397
2019,Williams,Spangrud WPA,-102.916472,48.61056815
2019,Traill,Sproule East,-97.17110188,47.61172848
2019,Stark,STA-137-099-16,-103.1808465,46.68596725
2019,Stark,STA-138-092-16,-102.2875976,46.76661287
2019,Stark,STA-140-094-16,-102.5566821,46.94604824
2019,Burke,Staael North,-102.3282362,48.65370039
2019,Burke,Staael South 1,-102.3603456,48.62486168
2019,Cass,Stordalen,-97.66953619,46.64273378
2019,Morton,Storm Creek Lake WMA,-101.6141753,46.89679
2019,McHenry,Taylor East,-100.2557316,48.19704363
2019,Sargent,Tewaukon NWR,-97.4216854,46.01123954
2019,Towner,TOW-161-066-15,-99.19015928,48.76610246
2019,Towner,TOW-163-066-21,-99.201507,48.924403
2019,Cass,Trego,-97.45980411,47.1310628
2019,Sheridan,Trego North,-100.5068383,47.76306344
2019,Sheridan,Trego West 1,-100.5780168,47.65200281
2019,Rolette,Twin Lake WPA,-99.91407325,48.69996937
2019,Ward,WAR-Upper Souris NWR,-101.5853462,48.43900989
2019,Wells,WEL-149-069-36,-99.43485651,47.68636439
2019,Wells,WEL-150-070-22,-99.6154561,47.8012441
2019,Wells,WEL-Lonetree WMA,-100.0245245,47.64210605
2019,Benson,White Horse Hill NWR,-98.9989211,47.9692171
2019,Dunn,Zahn,-102.5320877,47.4940414
2019,Williams,Zahn North,-103.5619743,48.55953097
2019,Williams,Zahn West,-104.0106401,48.50102925
