Code,Scientific Name,Common Name,
ANALOG,Anatrytone logan,Delaware Skipper,
ANCNUM,Ancyloxypha numitor,Least Skipper,
APOMOR,Apodemia mormo,Mormon Metalmark,
ASTCEL,Asterocampa celtis,Hackberry Emperor,
ATRHIA,Atrytonopsis hianna,Dusted Skipper,
BOLBEL,Boloria bellona,Meadow Fritillary,
BOLSEL,Boloria selene,Silver Bordered Fritillary,
CARPAL,Carterocephalus palaemon,Arctic Skipper,
CELNEG,Celastrina neglecta,Summer Azure,
CERPEG,Cercyonis pegala,Common Wood Nymph,
CHLGOR,Chlosyne gorgone,Gorgone Checkerspot,
COETUL,Coenonympha tullia,Common Ringlet,
COLEUR,Colias eurytheme,Orange Sulphur,
COLPHI,Colias philodice,Clouded Sulphur,
DANPLE,Danaus plexippus,Monarch,
EPACLA,Epargyreus clarus,Silver Spotted Skipper,
EUPCLA,Euptoieta claudia,Variegated Fritillary,
EVECOM,Everes comyntas,Eastern Tailed Blue,
GLALYG,Glaucopsyche lygdamus,Silvery Blue,
HESCOM,Hesperia comma,Common Branded Skipper,
HESDAC,Hesperia dacotae,Dakota Skipper,
HESLEO,Hesperia leonardus,Leonard's/Pawnee Skipper,
JUNCOE,Junonia coenia,Common Buckeye,
LIMARC,Limenitis archippus,Viceroy,
LIMART,Limenitis arthemis,White Admiral,
LYCDIO,Lycaena dione,Gray Copper,
LYCHEL,Lycaena helloides,Purplish Copper,
LYCHYL,Lycaena hyllus,Bronze Copper,
LYCMEL,Lycaeides melissa,Melissa Blue,
MEGSTR,Megathymus streckeri,Strecker's Giant Skipper,
NEORID,Neominois ridingsii,Riding's Satyr,
NYMANT,Nymphalis antiopa,Mourning Cloak,
OARGAR,Oarisma garita,Garita Skipperling,
OENUHL,Oeneis uhleri,Uhler's Arctic,
PAPGLA,Papilio glaucus,Eastern Tiger Swallowtail,
PAPMAC,Papilio machaon,Old World Swallowtail,
PAPPOL,Papilio polyxenes,Black Swallowtail,
PHYBAT,Phyciodes batesii,Tawny Crescent,
PHYCOC,Phyciodes cocyta,Northern Crescent,
PHYTHA,Phyciodes tharos,Pearl Crescent,
PIERAP,Pieris rapae,Cabbage White,
PLEICA,Plebejus icarioides,Boisduval's Blue,
PLESAE,Plebejus saepiolus,Greenish Blue,
POAHOB,Poanes hobomok,Hobomok Skipper,
POLMYS,Polites mystic,Long Dash Skipper,
POLORI,Polites origenes,Crossline Skipper,
POLPEC,Polites peckius,Peck's Skipper,
POLTHE,Polites themistocles,Tawny-edged Skipper,
PONPRO,Pontia protodice,Checkered White,
PYRCOM,Pyrgus communis,Common Checkered Skipper,
SATACA,Satyrium acadica,Acadian Hairstreak,
SATEUR,Satyrodes eurydice,Eyed Brown,
SATTIT,Satyrium titus,Coral Hairstreak,
SPEAPH,Speyeria aphrodite,Aphrodite Fritillary,
SPECAL,Speyeria callippe,Callippe Fritillary,
SPECYB,Speyeria cybele,Great Spangled Fritillary,
SPEIDA,Speyeria idalia,Regal Fritillary,
VANATA,Vanessa atalanta,Red Admiral,
VANCAR,Vanessa cardui,Painted Lady,
VANVIR,Vanessa virginiensis,American Lady,
,,,
ACENEG,Acer negundo,Box elder maple,
ACHMIL,Achillea millefolium,Yarrow,
ACMAME,Acmispon americanus,American bird's-foot trefoil,
AGAFOE,Agastache foeniculum,Blue giant hyssop,
AGASCR,Agastache scrophulariifolia,Purple giant hyssop,
AGATEN,,Agastache tenuifolia,Narrowleaf giant hyssop
AGOGLA,Agoseris glauca,False dandelion,
AGRPAR,Agrimonia parviflora,Swamp agrimony,
AGRPUB,Agrimonia pubescens,Downy agrimony,
AGRSTR,Agrimonia striata,Roadside agrimony,
ALITRI,Alisma triviale,Northern water plantain,
ALLSTE,Allium stellatum,Pink prairie onion,
ALLTEX,Allium textile,White textile onion,
AMBPSI,Ambrosia psilostachya,Western ragweed,
AMEALN,Amelanchier alnifolia,Saskatoon serviceberry,
AMOCAN,Amorpha canescens,Lead plant,
AMOFRU,Amorpha fruticosa,False indigo bush,
ANDOCC,Androsace occidentalis,Western rock jasmine,
ANECAN,Anemone canadensis,Canada anemone,
ANECYL,Anemone cylindrica,Thimbleweed,
ANEMUL,Anemone multifida,Pacific anemone,
ANEPAT,Anemone patens,American pasqueflower,
ANEVIR,Anemone virginiana,Tall thimbleweed,
Antennaria sp.,Antennaria,Pussytoes,
ANTMIC,Antennaria microphylla,Littleleaf pussytoes,
ANTNEG,Antennaria neglecta,Field pussytoes,
ANTPAR,Antennaria parlinii,Parlin's pussytoes,
APIALB,,,
APOAND,Apocynum androsaemifolium,Spreading dogbane,
APOCAN,Apocynum cannabinum,Hemp dogbane,
APOSIB,Apocynum sibiricum,Clasping dogbane,
ARAPYC,Arabis pycnocarpa,Hairy rock cress,
ARNFUL,Arnica fulgens,Orange arnica,
ARTABS,Artemisia absinthium,Absinthe wormwood,
ARTCAM,Artemisia campestris,Field sagewort,
ARTDRA,Artemisia dracunculus,Tarragon,
ARTFRI,Artemisia frigida,Fringed sagewort,
ARTLON,Artemisia longifolia,Longleaf wormwood,
ARTLUD,Artemisia ludoviciana,White sage,
ASCINC,Asclepias incarnata,Swamp milkweed,
ASCLAN,Asclepias lanuginosa,Woolly milkweed,
ASCOVA,Asclepias ovalifolia,Oval-leaf milkweed,
ASCPUM,Asclepias pumila,Low milkweed,
ASCSER,,,
ASCSPE,Asclepias speciosa,Showy milkweed,
ASCSTE,Asclepias stenophylla,Slimleaf milkweed,
ASCSYR,Asclepias syriaca,Common milkweed,
ASCVER,Asclepias verticillata,Whorled milkweed,
ASCVIR,Asclepias viridiflora,Green milkweed,
ASPOFF,Asparagus officinalis,Garden asparagus,
ASTADS,Astragalus adsurgens,Prairie milkvetch,
ASTAGR,Astragalus agrestis,Field milkvetch,
ASTBIS,Astragalus bisulcatus,Two-grooved milkvetch,
ASTCAN,Astragalus canadensis,Canada milkvetch,
ASTCIC,Astragalus cicer,Cicer Milkvetch,
ASTCRA,Astragalus crassicarpus,Ground plum,
ASTFLE,Astragalus flexuosus,Slender milkvetch,
ASTGRA,Astragalus gracilis,Slender Milkvetch,
ASTLAX,Astragalus laxmannii,Laxmann's milk-vetch,
ASTMIS,Astragalus missouriensis,Missouri milkvetch,
ASTMUL,Astragalus multiflorus,Loose-flower milk-vetch,
ASTPEC,Astragalus pectinatus,Narrow-leaved milkvetch,
ASTSPA,Astragalus spatulatus,Draba milk-vetch,
ATRGAR,Atriplex gardneri,Gardner's saltbush,
BERINC,Berteroa incana,Hoary alyssum,
BIDTRI,Bidens trichosperma,Crowned beggarticks,
BLEHIR,Blephilia hirsuta,Hairy woodmint,
BOESTR,,Bouteloua stricta,Side-oats grama
BOL spp,Boloria,Lesser fritilllaries,
BOLAST,Boltonia asteroides,False aster,
BRAJUN,,Brassica juncea,Brown mustard
BRANIG,Brassica nigra,Black mustard,
